iter	Passed	Remaining
925	3736	298
926	3739	294
927	3741	290
928	3743	286
929	3746	281
930	3748	277
931	3750	273
932	3752	269
933	3755	265
934	3757	261
935	3759	257
936	3761	252
937	3763	248
938	3766	244
939	3768	240
940	3770	236
941	3772	232
942	3775	228
943	3777	224
944	3796	220
945	3798	216
946	3800	212
947	3802	208
948	3805	204
949	3807	200
950	3810	196
951	3812	192
952	3814	188
953	3817	184
954	3819	179
955	3821	175
956	3823	171
957	3824	167
958	3827	163
959	3828	159
960	3830	155
961	3832	151
962	3835	147
963	3836	143
964	3838	139
965	3840	135
966	3842	131
967	3857	127
968	3859	123
969	3861	119
970	3863	115
971	973	3867	972	3874	107
973975	3882	95
976	3883	91
977	3885	87
978	3887	83
979	3888	79
980	3896	75
981	3898	71
982	3900	67
983	3902	63
984	3904	59
985	3910	55
986	3913	51
987	3926	47
988	3927	4987	3946	47
98990	3957	398991	3959	399992	3962	2991	3977	32
992	3993	28
993	3994	24
994	3996	20
995	3997	16
996	3999	12
999	4001	0
998	4007	4
999	4009	0
